text,cmp_code,party_id,date
"We will ensure that all adults on approved courses or training have access to financial support, either through their Individual Learning Accounts or from their employer using our new remissible training levy.",408,51421,199705
- Improve the quality of tertiary courses.,411,51421,199705
We will create a new Quality Council to ensure high standards and value for money in all post-16 education and training courses.,411,51421,199705
- Secure academic freedom.,411,51421,199705
"We will ensure the funding of university teaching and research, safeguard academic freedom and standards.",411,51421,199705
Our aim: To end the cycle of boom and bust and equip Britain's economy to compete in the global market-place.,408,51421,199705
"The problem: Despite the current pre-election mini-boom, the fundamentals of Britain's economy remain weak.",414,51421,199705
"We continue to be held back by instability in economic management, an underskilled labour force and chronic under-investment.",414,51421,199705
Britain continues to consume too much and invest too little.,414,51421,199705
"Our commitment: Liberal Democrats will lock in economic stability, encourage saving and promote enterprise.",414,51421,199705
We will raise the quality of Britain's workforce through additional investment in education and training.,411,51421,199705
"As part of our strategy to build a sustainable economy, we will shift the burden of taxation from employment to the depletion of natural resources.",408,51421,199705
- Provide stability in economic management to encourage long-term investment.,404,51421,199705
- Raise the quality of Britain's workforce and get people back to work.,408,51421,199705
- Promote enterprise and small businesses.,402,51421,199705
"- Begin to shift taxation from jobs, wealth and goods to pollution and the depletion of natural resources.",408,51421,199705
Long-term investment and economic stability are crucial to future economic success.,414,51421,199705
- Secure stable prices and low interest rates.,414,51421,199705
"We will turn the Bank of England into a UK Reserve Bank, free from political interference.",414,51421,199705
We will charge the Bank with keeping inflation low and make it accountable to Parliament for achieving this goal.,414,51421,199705
Lower inflation and greater exchange rate stability can be better secured by working with Britain's European partners.,108,51421,199705
The best framework for this is a single European currency and it is in Britain's interests to take part in this.,108,51421,199705
"However, three conditions must be met before this can happen.",108,51421,199705
"First, the single currency must be firmly founded on the Maastricht criteria.",108,51421,199705
"Second, Britain must meet those criteria.",108,51421,199705
"Third, the British people must have said yes' in a referendum.",202,51421,199705
"If these conditions for a single currency are in place, Britain should join.",108,51421,199705
- Ensure responsible economic management.,414,51421,199705
"We will keep to the 'golden rule' of public finance: over the economic cycle, total borrowing should not exceed total investment.",414,51421,199705
"We will make the government accountable to Parliament for keeping to this rule, and subject it to independent monitoring.",414,51421,199705
We will cut wasteful spending and ensure new spending delivers value for money.,414,51421,199705
- Build up Britain's capital assets.,414,51421,199705
We will distinguish between capital and current spending in the national accounting system.,414,51421,199705
"We will promote effective public/private investment partnerships at both national and local levels, with Councils' borrowing carefully controlled.",414,51421,199705
- Put Britain's people back to work.,408,51421,199705
We will enable long-term unemployed people to turn their unemployment benefits into 'working benefits' paid to an employer to recruit and train them.,701,51421,199705
We will break open the poverty traps that stop unemployed people from working.,701,51421,199705
"Our plans for boosting investment in infrastructure, promoting small businesses and encouraging energy conservation will create hundreds of thousands of new jobs.",408,51421,199705
- Invest in a highly-skilled workforce.,408,51421,199705
Our investment of an additional £2 billion a year in education and training will improve skills and increase the nation's knowledge base.,411,51421,199705
- Promote environmental sustainability.,501,51421,199705
"We will begin a long-term shift in taxation, reducing taxes on jobs, wealth and goods and shifting them to pollution and resource depletion.",501,51421,199705
We will use new national indicators of progress which include measures of quality of life and environmental sustainability.,501,51421,199705
- Encourage people to save.,414,51421,199705
Our aim is to extend the advantages of TESSAs and PEPs to a wider range of savers by developing a new save-as-you-earn scheme.,414,51421,199705
We will encourage personal and portable pension plans.,414,51421,199705
"Small business, enterprise and self-employment are the engine of a modern dynamic economy and a vital source of new jobs and growth.",401,51421,199705
- Support small and medium-sized businesses.,401,51421,199705
"We will encourage the banks to develop new sources of private finance, including grants, equity finance and mutual guarantee schemes.",401,51421,199705
We will seek to expand the sources of 'seed-corn' capital.,401,51421,199705
We will legislate for a statutory right to interest on late debt payments.,408,51421,199705
We will require the banks to develop new codes of banking practice for small businesses.,403,51421,199705
"We will cut red tape, for example by stopping European institutions interfering where they shouldn't and by preventing Whitehall departments 'goldplating' European regulations with extra rules.",110,51421,199705
"We will, in the long-term, abolish the Uniform Business Rate and bring in a new, fairer local rating system.",301,51421,199705
We will ensure that government purchasing gives special emphasis and easier access to small and medium-sized firms.,401,51421,199705
- Boost regional and local economies.,403,51421,199705
"We will set up regionally-based Development Agencies to build new partnerships between small businesses, local Councils, Business Links, TECs and local Chambers of Commerce.",403,51421,199705
We will encourage these bodies to come together to provide 'one-stop shops'.,403,51421,199705
"We will enable Councils to raise capital for local infrastructure investment, where they work in partnership with the private sector.",403,51421,199705
We will encourage industrial development by promoting geographical centres of industrial excellence.,403,51421,199705
- Invest in research and innovation.,411,51421,199705
"We will expand support for science and research by shifting government funds away from military Research and Development and into civil science and research,",105,51421,199705
and improve specialist research facilities for industry.,411,51421,199705
"We will encourage regional technology transfer centres to bring together the resources of industry, universities and government laboratories.",411,51421,199705
- Promote tourism.,502,51421,199705
"We will bring together the marketing and infrastructure work of government, local Councils and tourist boards.",502,51421,199705
We will ensure that local communities are involved in the planning of tourist developments from the earliest stages.,502,51421,199705
- Build new partnerships at work.,606,51421,199705
We will give employees new rights to consultation and participation in decisions and give companies and their employees access to advice on the forms of partnership which best suit them.,701,51421,199705
"We will promote profit-sharing, mutual structures and employee share-ownership schemes.",606,51421,199705
"We will extend the benefits of the Social Chapter of the Maastricht Treaty to all UK employees, while resisting the adoption of new rules that unnecessarily harm job opportunities.",606,51421,199705
- Encourage a culture of long-term business investment.,414,51421,199705
"We will require companies to publish information on their long-term investment achievements,",404,51421,199705
"including environmental performance,",501,51421,199705
"research and development, and training.",411,51421,199705
We will introduce greater shareholder control over directors' pay and appointments.,403,51421,199705
- Promote British exports.,408,51421,199705
We will make export promotion and commercial activity a higher priority for British Embassies.,408,51421,199705
A competitive domestic economy is essential if British companies are to succeed in the global market.,414,51421,199705
- Strengthen the law on competition.,403,51421,199705
We will tighten the rules on monopolies and adopt a pro-competition stance on take-overs and mergers.,403,51421,199705
"We will, combine the Monopolies and Mergers Commission and the Office of Fair Trading into a single powerful body, independent of government and charged with promoting competition.",403,51421,199705
- Give consumers more power.,403,51421,199705
We will promote the establishment of industry-wide Ombudsmen schemes to improve complaints procedures and consumer redress.,403,51421,199705
"We will strengthen customer guarantees, improve product standards and labelling, especially for environmental purposes, and encourage products that are easier to repair, reuse and recycle.",403,51421,199705
We will insist on clear labelling for food products which include genetically modified ingredients.,403,51421,199705
- Reform the privatised utilities.,403,51421,199705
"We will combine the existing regulators into a single Office of Utility Regulation, reporting to a Cabinet Minister responsible for consumer affairs.",403,51421,199705
"This new office will contain a regulatory board for each industry and will be, charged with protecting the consumer and ensuring that excess profits are used to reduce prices and increase investment in improved services.",403,51421,199705
"Starting with the water industry, we will encourage utilities to involve their consumers in ownership and control of their company, through mutual structures.",403,51421,199705
- Reinforce consumer and investor protection.,403,51421,199705
We will introduce independent regulation of financial services and improve processes for redress (e./ g./ for mis-selling).,403,51421,199705
We will protect pension and life assurance savings from fraud.,403,51421,199705
We will work to maintain the City of London's pre-eminence as a financial centre and promote effective international banking standards.,403,51421,199705
"Our aim: To make clean air, pure water and a decent environment a central priority of Government.",501,51421,199705
"The problem: For too long, the environment has been damaged by greed and indifference.",501,51421,199705
This cannot go on.,501,51421,199705
"From global warming to polluted rivers and asthma in children, everyone is already paying the cost of environmental damage.",501,51421,199705
"The longer action is delayed, the higher the cost will be.",501,51421,199705
"Our commitment: To save energy, cut traffic congestion, stop the unnecessary destruction of the countryside and stem the tide of pollution.",501,51421,199705
"- Cut taxes on things we want to encourage, like jobs, by taxing pollution instead.",402,51421,199705
"This will not mean more tax, it will mean taxing differently.",402,51421,199705
- Build environmental objectives into every government policy.,501,51421,199705
"- Set tough targets to cut energy waste, reduce traffic congestion and control pollution.",501,51421,199705
Environmental protection must be built into every economic decision and every area of government policy.,501,51421,199705
- Set tough new targets for the reduction of traffic pollution and waste.,501,51421,199705
"This will help reduce global warming, cut air pollution and prevent waste.",501,51421,199705
Our targets include cutting carbon dioxide emissions (the main cause of climate change) by 30 per cent from the 1990 level over the next 15 years.,501,51421,199705
"- Cut VAT and taxes on jobs, and make up the difference by taxing pollution instead.",402,51421,199705
This will help create more jobs and a better standard of living.,606,51421,199705
- Adopt a Green Action Programme.,501,51421,199705
"We will set targets for sustainability and biodiversity, to be met by central and local government.",501,51421,199705
"We will measure these by using new indicators of quality of life, progress and wealth.",501,51421,199705
The Prime Minister will report to Parliament each year on the country's success in meeting these environmental targets.,501,51421,199705
- Protect the local environment.,501,51421,199705
We will pass stronger laws to conserve the countryside.,501,51421,199705
We will cut road congestion and help local Councils make Britain's towns and cities healthier and cleaner places to live.,501,51421,199705
- Improve the way environment policy is made.,501,51421,199705
"Environment policy is currently buried, with housing and local government, in a huge single Government Department.",303,51421,199705
"We will put environment and energy policy within a separate, new department and ensure that all government departments and agencies pursue environmentally-friendly policies.",303,51421,199705
We will give the Environment Agency stronger powers to enforce compliance with environmental laws.,501,51421,199705
"Travel delays and road congestion cost billions of pounds, and pollution damages the health of millions of people.",501,51421,199705
- Invest in public transport by building new partnerships with the private sector.,501,51421,199705
"We will enable Councils to introduce road pricing in the most congested urban areas and use the money to support clean and rapid public transport, and to improve cycle and pedestrian access.",501,51421,199705
We will retain London Underground in public ownership and give it the right to seek private finance for new investment without an assured government guarantee.,413,51421,199705
- Treble the freight and double the number of passengers carried on Britain's railways by the year 2010.,410,51421,199705
We will strengthen the powers of the rail regulators.,301,51421,199705
We will require Railtrack to meet targets for greater investment and increased passenger and freight traffic.,403,51421,199705
"We will withhold public subsidies from Railtrack if the targets are not met and, in the case of persistent failure, use the funds to reacquire a controlling interest in Railtrack.",413,51421,199705
We will provide for legislation enabling this.,413,51421,199705
"- Encourage people to drive more fuel-efficient cars by cutting the annual car tax, from £145 to £10 for cars up to 1600cc, over the period of the next Parliament,",501,51421,199705
funded by gradually raising the duty on fuel by approximately 4 pence per litre.,402,51421,199705
"Under our proposals, a person with a typical family car could drive up to 23,000 miles per year and still be better off - even in rural areas, where the average motorist only drives 11,700 miles a year.",402,51421,199705
We will reform tax relief on company cars to encourage smaller cars and give people new incentives to use public transport for getting to work.,402,51421,199705
- Reduce the need to travel.,501,51421,199705
"We will reform the planning system so that people have easier access to shops, offices and facilities,",501,51421,199705
and promote the use of information technology to decentralise work.,411,51421,199705
Official government figures show that half the energy used in Britain is wasted.,501,51421,199705
"This pushes up fuel bills, worsens pollution and speeds up global warming.",501,51421,199705
- Cut fuel bills and make homes warmer.,402,51421,199705
We will launch a National Homes Insulation programme to end fuel poverty starting with the 2 million lowest income households.,503,51421,199705
Our proposals will be funded by the Energy Saving Trust and the energy supply companies.,408,51421,199705
This will save these households an average £85 per year,503,51421,199705
and reduce global warming emissions.,501,51421,199705
"By contrast, cutting VAT on fuel bills to 5 per cent would save the average household only £19 per year.",402,51421,199705
- Cut taxes on people by taxing pollution instead.,402,51421,199705
"To encourage energy saving, we will gradually introduce a 'carbon tax' on fossil fuels, using the funds raised to cut VAT and employers' National Insurance Contributions (the tax on jobs).",501,51421,199705
"This is a tax switch, not a tax rise, and will be phased in gradually.",402,51421,199705
- Improve energy efficiency.,501,51421,199705
"We will bring in new minimum standards for the energy efficiency of products, buildings and vehicles.",501,51421,199705
We will cut VAT on energy conservation materials to 8 per cent - the same as for energy supplies.,402,51421,199705
- Promote renewable sources of energy and combined heat and power schemes.,501,51421,199705
"We will shift funds from nuclear research into decommissioning and nuclear waste management, and support research for renewable energy sources.",501,51421,199705
We will not provide any government subsidies for nuclear generation.,501,51421,199705
"We support on-site dry storage of nuclear waste, pending the long-term development of safe alternatives.",501,51421,199705
Nuclear stations will not be replaced at the end of their design life.,501,51421,199705
Britain's natural environment and heritage are being gradually destroyed.,501,51421,199705
- Clean up Britain's rivers and beaches and ensure that the costs of investment are spread fairly.,501,51421,199705
We will require water companies to contribute to the cost of national environmental projects.,501,51421,199705
We will reduce the need for new water developments by setting targets to reduce leakage and by promoting efficiency in water use.,501,51421,199705
We will introduce a fairer system of charging for water and require water companies to share excess profits with their customers through rebates or investments in environmental improvements.,503,51421,199705
"We will end, within 10 years, discharges that cause unnecessary water pollution.",501,51421,199705
- Tackle marine oil pollution.,501,51421,199705
We will implement tougher rules on shipping safety and bring forward the designation of marine high risk areas.,501,51421,199705
- Reform land use planning.,501,51421,199705
We will make protection of the natural environment a major feature of the planning system through a new Wildlife Act.,501,51421,199705
"This will improve protection of National Parks, Heritage Coasts, Sites Of Special Scientific Interest and Areas of Outstanding Natural Beauty.",501,51421,199705
- Green the countryside.,501,51421,199705
Our proposed new Countryside Management Contracts will help farmers to protect vital habitats and convert to more environmentally-friendly farming methods.,501,51421,199705
"We will use tax and planning reforms to protect rural areas,",402,51421,199705
encouraging development on derelict land sites rather than green fields.,501,51421,199705
Most people understand the importance of thinking globally and acting locally.,501,51421,199705
They want to play their part in protecting the environment.,501,51421,199705
Government should help them do so.,305,51421,199705
"- Encourage the manufacture of products that are easier to repair, reuse or recycle.",501,51421,199705
"We will introduce deposit refund schemes and back EU-wide standards for product design, energy efficiency and reuse.",501,51421,199705
- Help people to choose environmentally friendly products.,501,51421,199705
We will press for comprehensive and understandable EU-wide ecologically friendly and energy efficient labelling schemes.,501,51421,199705
The way a society treats animals is a measure of its civilisation.,601,51421,199705
- Promote animal welfare.,601,51421,199705
We will set up a compulsory national dog registration scheme.,601,51421,199705
We will halt the trade in endangered species as pets.,601,51421,199705
We will promote and extend training and qualification for those who work with livestock.,703,51421,199705
"We will insist on the enforcement of maximum time limits and for transporting live animals in the EU, a stricter timetable for banning veal crates and improved rearing conditions for pigs and chickens across the EU.",110,51421,199705
We will create an Animal Protection Commission to enforce animal welfare laws and improve animal welfare standards.,603,51421,199705
"We will ban animal testing for cosmetics, weapons and tobacco products.",603,51421,199705
We will review the law in order to reduce the use of animals in scientific experiments and seek the development of alternatives.,603,51421,199705
- Protect wild animals.,601,51421,199705
We believe that the issues of hunting with hounds and coursing should be decided by free votes in the House of Commons.,601,51421,199705
We will ban snares and leg hold traps.,601,51421,199705
We will press for stronger international laws to protect endangered species.,107,51421,199705
We will ban the importation of products derived from threatened wild animals.,406,51421,199705
"Our aim: To give every person in Britain the security of a decent home in a safe, strong community.",606,51421,199705
"The problem: Crime, homelessness and insecurity now threaten the very fabric of British society.",606,51421,199705
Many people feel too frightened to leave their homes.,606,51421,199705
Many do not have a decent home.,606,51421,199705
"Our country is becoming more and more divided, our sense of community is being lost and our shared values are being undermined.",606,51421,199705
"Our commitment: Liberal Democrats will pursue practical measures to rebuild Britain's communities,",503,51421,199705
"tackle the causes of crime,",605,51421,199705
"reduce homelessness,",504,51421,199705
and make people safer in their homes and on the streets.,605,51421,199705
"- Put 3,000 more police officers on the beat.",605,51421,199705
- Build more affordable and secure housing.,503,51421,199705
"- End, by the year 2000, the scandal of people being forced to sleep rough on the streets.",503,51421,199705
- Revive Britain's sense of community.,606,51421,199705
"Boom and bust house prices, a shortage of decent homes and poor housing have wrecked the lives of millions and damaged Britain's economy.",504,51421,199705
- Build more houses.,304,51421,199705
"We will encourage partnerships between the public sector, the private sector and housing associations to build high quality homes to rent and buy.",410,51421,199705
"We will, within strict borrowing controls, give local authorities more powers to go directly to the market to raise finance for building new homes.",410,51421,199705
We will begin the phased release of capital receipts from past sales of Council houses and allow the money to be used to build new homes.,504,51421,199705
"- Give financial security to all, whether they rent or own their homes.",503,51421,199705
We will introduce a new Mortgage Benefit for first time buyers.,403,51421,199705
They will receive this instead of Mortgage Interest Tax Relief.,402,51421,199705
Those holding current mortgages will retain Mortgage Interest Tax Relief.,402,51421,199705
"Our aim is, over time, to merge the new Mortgage Benefit and the current Housing Benefit into one system of housing cost relief, available to those who buy or rent and focused on those most in need.",503,51421,199705
- End the scandal of people being forced to sleep rough on the streets.,504,51421,199705
We will ensure that by the year 2000 no one is forced to sleep on the streets.,504,51421,199705
We will require every Council to set up self-funding rent deposit schemes to help homeless people take up private tenancies.,504,51421,199705
We will fund more shortstay hostel places as the first rung on the ladder to permanent accommodation.,504,51421,199705
- Take action to tackle homelessness and raise housing standards.,504,51421,199705
"We will give Councils greater power to act on unfit private housing, where the landlord has failed to do so.",504,51421,199705
"We will strengthen tenants' rights to repair and, in the public sector, give them rights to take part in the management and development of their homes and estates.",201,51421,199705
"Our Empty Homes Strategy will enable local authorities to work with, and as a last resort require, landlords to bring empty properties back into use.",504,51421,199705
We will end discrimination against those under 25 by scrapping the 'shared residency rule' when assessing housing benefit.,706,51421,199705
- Bring confidence back to the housing market by targeting low inflation and low interest rates.,408,51421,199705
Crime and the fear of crime affect almost every person and every community in the country.,605,51421,199705
"- Put 3,000 more police officers on the beat.",605,51421,199705
"Within one year, we will give police authorities the resources to put an extra 3,000 police officers on the beat.",605,51421,199705
We will increase the time the police spend on preventing and detecting crime by reducing unnecessary paperwork and making greater use of new technologies.,605,51421,199705
- Tackle youth crime.,605,51421,199705
We will widen the use of schemes that require offenders to repay their debt to society and to confront the consequences of their actions.,605,51421,199705
"We will, where appropriate, require parents to participate in support projects where their children have been involved in juvenile crime.",603,51421,199705
We will develop schemes that target disruptive children from an early age.,706,51421,199705
We will reserve custodial sentences for more serious and persistent offenders.,605,51421,199705
Our voluntary Citizens Service will enable young people to get directly involved in crime prevention schemes.,605,51421,199705
- Strengthen the criminal justice system.,605,51421,199705
We will make the justice system work more quickly and effectively and review sentencing policy.,605,51421,199705
We will overhaul the Crown Prosecution Service.,605,51421,199705
"We will encourage the use of community sentences, as an alternative to prison, where the result is likely to be less reoffending, and use prison sentences where they are essential to public protection or to make punishment effective.",605,51421,199705
"We will concentrate resources on crime prevention and on increasing conviction rates, rather than spending billions on building prisons.",605,51421,199705
- Focus on crime prevention.,605,51421,199705
"We will require Councils to take the lead in establishing cross-community partnerships against crime, setting specific targets for crime prevention.",605,51421,199705
"We will give Councils powers and resources to support high-quality, targeted crime prevention initiatives.",605,51421,199705
- Wage war on drug abuse.,603,51421,199705
We will give the Police and Customs and Excise the support they need to stop drugs coming into Britain.,605,51421,199705
We will set up a Royal Commission charged with developing policies to tackle the drugs problem at its roots.,605,51421,199705
- Give victims a new deal.,706,51421,199705
"We will promote restorative justice, under which offenders can be required to compensate victims for the damage they have caused.",605,51421,199705
We will ensure that the Victim Support movement and the Witness Support schemes play a full role in the criminal justice system.,605,51421,199705
We will provide victims with the practical support they need to prevent repeat attacks.,706,51421,199705
- Strengthen public confidence in the police.,605,51421,199705
We will make police authorities more responsive to local communities by increasing their elected membership and creating an accountable police authority for London.,605,51421,199705
"We will improve co operation between police forces and work more closely with Britain's European partners to combat international crime, terrorism, drug trafficking and fraud.",605,51421,199705
We will ensure that the police take further steps to reduce the level of racial and homophobic violence.,605,51421,199705
Britain's rural economy and communities have been transformed over the last fifty years.,703,51421,199705
"The challenge for the next fifty years is to protect and enhance the richness of rural life, while developing a thriving rural economy.",703,51421,199705
- Seek further reform of the Common Agricultural Policy (CAP).,703,51421,199705
"We will work to replace the CAP, which currently subsidises production, with Countryside Management Contracts - a targeted system of direct payments to support economic, social and environmental goals in rural communities.",703,51421,199705
"Countryside Management Contracts will enable farmers and landowners to choose from a wide range of options, for example, to improve the rural environment, maximise food quality, protect natural habitats or move to less intensive or organic farming methods.",703,51421,199705
- Help rural economies through a period of change.,703,51421,199705
"We will, in partnership with the agriculture industry, draw up a national strategy for farming in order to provide a framework for public policy and private decision-making over the next 10 years.",703,51421,199705
"We will promote agricultural research and development, and assist farmers wishing to diversify.",703,51421,199705
We will promote local processing of agricultural products and expand support for small and medium-sized enterprises in rural areas.,703,51421,199705
- Tackle rural crime.,605,51421,199705
"We will put more police into rural areas, support Farm and Neighbourhood Watch schemes and give Councils the duty to set up crime prevention schemes with the local police.",605,51421,199705
We will enable rural police authorities to introduce mortgage incentive schemes to encourage rural beat officers to live in the areas they serve.,605,51421,199705
- Enhance rural services.,504,51421,199705
We will support smaller village schools through greater use of information technology and specialist teaching teams.,506,51421,199705
We will encourage schemes that enable local communities to make use of school buildings and equipment.,502,51421,199705
We will promote community hospitals and use them for more out-patient consultations.,504,51421,199705
- Provide more affordable rural housing.,504,51421,199705
"We will encourage housing authorities, Parish Councils and housing associations to set up partnership schemes with the private sector in order to build low-cost homes for first-time home buyers and social needs.",504,51421,199705
- Improve rural transport.,411,51421,199705
"We will give local authorities the power to improve the co-ordination of local bus services and to reopen closed railway stations, in co-operation with Railtrack.",411,51421,199705
- Strengthen the network of rural sub-post offices and village shops.,411,51421,199705
"We will encourage the Post Office to invest in new point of sale technologies, in order to provide access, through sub-post offices, to a wide range of customer services.",411,51421,199705
"Where post offices and village shops which are vital to their local community are threatened, we will enable local Councils to support them with up to 100 per cent rate relief.",402,51421,199705
- Protect the countryside.,501,51421,199705
We will help landowners meet the environmental costs of increased access to the countryside.,501,51421,199705
We will take action to reduce the use of chemicals in farming.,501,51421,199705
- Protect rural areas from urbanisation.,501,51421,199705
