	text	cmp_code	party_id	date
44	['first', 'year', 'double', 'spending', 'book', 'equipment', 'overcome', 'effect', 'recent', 'cut']	506	51421	199705
45	['typical', 'primary', 'school', 'pupil', 'get', 'extra']	506	51421	199705
46	['typical', 'secondary', 'school', 'pupil', 'get', 'extra']	506	51421	199705
47	['reduce', 'primary', 'school', 'class_siz', 'year', 'child', 'need', 'class']	506	51421	199705
48	['tackle', 'backlog', 'repair']	506	51421	199705
49	['invest', 'additional', 'year', 'repair', 'crumble', 'unsafe', 'building']	506	51421	199705
50	['support', 'child', 'special', 'need']	506	51421	199705
51	['fully', 'fund', 'implementation', 'code', 'practice', 'special', 'educational', 'need']	506	51421	199705
52	['involve', 'parent', 'education', 'child', 'ensure', 'school', 'support', 'local', 'community', 'essential', 'achieve', 'high', 'standard', 'good', 'resource']	506	51421	199705
53	['increase', 'role', 'parent', 'education']	506	51421	199705
54	['extend', 'home', 'school', 'pupil', 'link', 'develop', 'home', 'school', 'partnership', 'arrangement', 'support', 'parent', 'information', 'resource', 'help', 'help', 'child']	506	51421	199705
55	['require', 'school', 'inspection', 'service', 'report', 'home', 'school', 'partnership', 'part', 'school', 'inspection']	506	51421	199705
56	['promote', 'school', 'council', 'guarantee', 'automatic', 'representation', 'govern', 'body', 'staff', 'appropriate', 'student']	506	51421	199705
57	['open', 'school', 'whole', 'community']	411	51421	199705
58	['encourage', 'school', 'develop', 'course', 'parent', 'build', 'link', 'local', 'leisure', 'organisation', 'open', 'school', 'sport', 'facility', 'community', 'work', 'local', 'business', 'provide', 'improve', 'computer', 'education']	411	51421	199705
59	['give', 'school', 'independence', 'allow', 'develop', 'style', 'strength']	301	51421	199705
60	['devolve', 'many', 'power', 'possible', 'school', 'give', 'control', 'budget']	303	51421	199705
61	['make', 'new', 'light', 'touch', 'lea', 'responsible', 'function', 'can', 'not', 'undertaken', 'individual', 'school', 'coordination', 'planning', 'monitoring', 'standard']	303	51421	199705
62	['bring', 'grant', 'maintain', 'school', 'city', 'technology', 'college', 'new', 'framework', 'scrap', 'funding', 'agency', 'school']	411	51421	199705
63	['liberal_democrat', 'opposed', 'selection', 'believe', 'decision', 'make', 'local', 'community', 'local', 'council', 'politician', 'westminster']	301	51421	199705
64	['recognise', 'valuable', 'role', 'church', 'school', 'maintain', 'sector']	607	51421	199705
65	['initiate', 'dialogue', 'major', 'faiths', 'role', 'wish', 'play', 'education', 'future']	607	51421	199705
66	['major', 'faith', 'wish', 'establish', 'publicly_funded', 'voluntary', 'school', 'enable', 'provide', 'enjoy', 'substantial', 'community', 'support', 'offer', 'acceptable', 'programme', 'study', 'provide', 'equality', 'opportunity', 'able', 'deliver', 'minimum', 'curriculum', 'entitlement']	607	51421	199705
67	['forge', 'new', 'partnership', 'independent', 'sector']	507	51421	199705
68	['encourage', 'independent', 'school', 'work', 'state', 'school']	507	51421	199705
69	['phase', 'assist', 'place', 'scheme']	507	51421	199705
70	['money', 'save', 'enable', 'lea', 'wish', 'enter', 'local', 'partnership', 'scheme']	303	51421	199705
71	['could', 'include', 'assist', 'funding', 'pupil', 'independent', 'school']	506	51421	199705
72	['pupil', 'currently', 'cover', 'assisted', 'place', 'scheme', 'would', 'however', 'protect', 'finish', 'study']	506	51421	199705
73	['require', 'independent', 'school', 'offer', 'minimum', 'curriculum', 'entitlement']	506	51421	199705
74	['extend', 'charitable', 'status', 'school', 'affect', 'total', 'council', 'funding', 'maintain', 'vat_exemption', 'school', 'fee']	402	51421	199705
75	['information', 'age', 'education', 'must', 'life', 'long', 'activity', 'people', 'benefit', 'anywhere', 'time', 'rather', 'something', 'happen', 'school']	411	51421	199705
76	['widen', 'access', 'education']	411	51421	199705
77	['give', 'person', 'individual', 'learning', 'account', 'basis', 'life', 'long', 'post', 'school', 'education', 'contribution', 'make', 'state', 'individual', 'employer']	411	51421	199705
78	['aim', 'state', 'contribution', 'least', 'equivalent', 'cost', 'fee', 'approve', 'course']	411	51421	199705
79	['replace', 'student_loan', 'scheme', 'fair', 'repayment', 'scheme', 'link', 'salary', 'later', 'life']	408	51421	199705
80	['oppose', 'top', 'fee', 'tuition']	408	51421	199705
81	['aim', 'ensure', 'student', 'approve', 'course', 'include', 'part', 'time', 'course', 'first', 'degree', 'level', 'treat', 'equally']	503	51421	199705
82	['promote', 'flexible', 'learning']	411	51421	199705
83	['create', 'high', 'standard', 'credit', 'base', 'system', 'post', 'course', 'include', 'current', 'level', 'degree', 'course']	411	51421	199705
84	['work', 'private', 'sector', 'link', 'school', 'information', 'super', 'highway', 'ensure', 'equipment', 'skill', 'take', 'advantage']	411	51421	199705
85	['promote', 'training', 'workplace']	411	51421	199705
86	['support', 'company', 'invest', 'education', 'training', 'encourage', 'other', 'introduce', 'per_cent', 'remissible', 'levy', 'company', 'payroll']	408	51421	199705
87	['would', 'deductible', 'cost', 'provide', 'accredited', 'training', 'make', 'contribution', 'individual', 'learning', 'account']	408	51421	199705
88	['small_business', 'exempt']	408	51421	199705
89	['give', 'training', 'enterprise', 'council', 'lead', 'role', 'forge', 'local', 'partnership', 'meet', 'youth', 'training', 'employment', 'need']	301	51421	199705
90	['expand', 'training', 'opportunity', 'young', 'people']	411	51421	199705
91	['aim', 'ensure', 'year', 'oid', 'receive', 'equivalent', 'least', 'days_week', 'education', 'job', 'training']	411	51421	199705
92	['boost', 'chance', 'adult', 'improve', 'skill', 'get', 'good', 'qualification']	411	51421	199705
93	['ensure', 'adult', 'approve', 'course', 'train', 'access', 'financial', 'support', 'individual', 'learning', 'account', 'employer', 'use', 'new', 'remissible', 'training', 'levy']	408	51421	199705
94	['improve', 'quality', 'tertiary', 'course']	411	51421	199705
95	['create', 'new', 'quality', 'council', 'ensure', 'high', 'standard', 'value', 'money', 'post', 'education', 'training', 'course']	411	51421	199705
96	['secure', 'academic', 'freedom']	411	51421	199705
97	['ensure', 'fund', 'university', 'teaching', 'research', 'safeguard', 'academic', 'freedom', 'standard']	411	51421	199705
98	['aim', 'end', 'cycle', 'boom', 'bust', 'equip', 'britain', 'economy', 'compete', 'global', 'market', 'place']	408	51421	199705
99	['problem', 'current', 'pre', 'election', 'mini', 'boom', 'fundamental', 'britain', 'economy', 'remain', 'weak']	414	51421	199705
100	['continue', 'hold', 'instability', 'economic', 'management', 'underskill', 'labour', 'force', 'chronic', 'investment']	414	51421	199705
101	['britain', 'continue', 'consume', 'much', 'invest', 'little']	414	51421	199705
102	['commitment', 'liberal_democrat', 'lock', 'economic', 'stability', 'encourage', 'saving', 'promote', 'enterprise']	414	51421	199705
103	['raise', 'quality', 'britain', 'workforce', 'additional', 'investment', 'education', 'training']	411	51421	199705
104	['part', 'strategy', 'build', 'sustainable', 'economy', 'shift', 'burden', 'taxation', 'employment', 'depletion', 'natural_resource']	408	51421	199705
105	['provide', 'stability', 'economic', 'management', 'encourage', 'long_term', 'investment']	404	51421	199705
106	['raise', 'quality', 'britain', 'workforce', 'get', 'people', 'back', 'work']	408	51421	199705
107	['promote', 'enterprise', 'small_business']	402	51421	199705
108	['begin', 'shift', 'taxation', 'job', 'wealth', 'good', 'pollution', 'depletion', 'natural_resource']	408	51421	199705
109	['long_term', 'investment', 'economic', 'stability', 'crucial', 'future', 'economic', 'success']	414	51421	199705
110	['secure', 'stable', 'price', 'low', 'interest', 'rate']	414	51421	199705
111	['turn', 'bank', 'england', 'reserve', 'bank', 'free', 'political', 'interference']	414	51421	199705
112	['charge', 'bank', 'keep', 'inflation', 'low', 'make', 'accountable', 'parliament', 'achieve', 'goal']	414	51421	199705
113	['low', 'inflation', 'great', 'exchange', 'rate', 'stability', 'better', 'secure', 'work', 'britain', 'european', 'partner']	108	51421	199705
114	['good', 'framework', 'single', 'european', 'currency', 'britain', 'interest', 'take', 'part']	108	51421	199705
115	['however', 'condition', 'must', 'meet', 'happen']	108	51421	199705
116	['first', 'single_currency', 'must', 'firmly', 'found', 'maastricht', 'criterion']	108	51421	199705
117	['second', 'britain', 'must', 'meet', 'criterion']	108	51421	199705
118	['third', 'british', 'people', 'must', 'say', 'referendum']	202	51421	199705
119	['condition', 'single_currency', 'place', 'britain', 'join']	108	51421	199705
120	['ensure', 'responsible', 'economic', 'management']	414	51421	199705
121	['keep', 'golden', 'rule', 'public', 'finance', 'economic', 'cycle', 'total', 'borrowing', 'exceed', 'total', 'investment']	414	51421	199705
122	['make', 'government', 'accountable', 'parliament', 'keeping', 'rule', 'independent', 'monitoring']	414	51421	199705
123	['cut', 'wasteful', 'spending', 'ensure', 'new', 'spending', 'deliver', 'value', 'money']	414	51421	199705
124	['build', 'britain', 'capital', 'asset']	414	51421	199705
125	['distinguish', 'capital', 'current', 'spend', 'national', 'accounting', 'system']	414	51421	199705
126	['promote', 'effective', 'public', 'private', 'investment', 'partnership', 'national', 'local', 'level', 'council', 'borrow', 'carefully', 'control']	414	51421	199705
127	['put', 'britain', 'people', 'back', 'work']	408	51421	199705
128	['enable', 'long_term', 'unemployed', 'people', 'turn', 'unemployment', 'benefit', 'work', 'benefit', 'pay', 'employer', 'recruit', 'train']	701	51421	199705
129	['break', 'open', 'poverty', 'trap', 'stop', 'unemployed', 'people', 'work']	701	51421	199705
130	['plan', 'boost', 'investment', 'infrastructure', 'promote', 'small_business', 'encourage', 'energy', 'conservation', 'create', 'hundred', 'thousand', 'new', 'job']	408	51421	199705
131	['invest', 'highly_skilled', 'workforce']	408	51421	199705
132	['investment', 'additional', 'year', 'education', 'training', 'improve', 'skill', 'increase', 'nation', 'knowledge', 'base']	411	51421	199705
133	['promote', 'environmental_sustainability']	501	51421	199705
134	['begin', 'long_term', 'shift', 'taxation', 'reduce', 'tax', 'job', 'wealth', 'good', 'shift', 'pollution', 'resource', 'depletion']	501	51421	199705
135	['new', 'national', 'indicator', 'progress', 'include', 'measure', 'quality', 'life', 'environmental_sustainability']	501	51421	199705
136	['encourage', 'people', 'save']	414	51421	199705
137	['aim', 'extend', 'advantage', 'tessas', 'pep', 'wide', 'range', 'saver', 'develop', 'new', 'save', 'earn', 'scheme']	414	51421	199705
138	['encourage', 'personal', 'portable', 'pension', 'plan']	414	51421	199705
139	['small', 'business', 'enterprise', 'self', 'employment', 'engine', 'modern', 'dynamic', 'economy', 'vital', 'source', 'new', 'job', 'growth']	401	51421	199705
140	['support', 'small', 'medium_sized', 'business']	401	51421	199705
141	['encourage', 'bank', 'develop', 'new', 'source', 'private', 'finance', 'include', 'grant', 'equity', 'finance', 'mutual', 'guarantee', 'scheme']	401	51421	199705
142	['seek', 'expand', 'source', 'seed', 'corn', 'capital']	401	51421	199705
143	['legislate', 'statutory', 'right', 'interest', 'late', 'debt', 'payment']	408	51421	199705
144	['require', 'bank', 'develop', 'new', 'code', 'banking', 'practice', 'small_business']	403	51421	199705
145	['cut', 'red_tape', 'example', 'stop', 'european', 'institution', 'interfere', 'prevent', 'whitehall', 'department', 'goldplate', 'european', 'regulation', 'extra', 'rule']	110	51421	199705
146	['long_term', 'abolish', 'uniform', 'business', 'rate', 'bring', 'new', 'fair', 'local', 'rating', 'system']	301	51421	199705
147	['ensure', 'government', 'purchasing', 'give', 'special', 'emphasis', 'easy', 'access', 'small', 'medium_siz', 'firm']	401	51421	199705
148	['boost', 'regional', 'local', 'economy']	403	51421	199705
149	['set', 'regionally', 'base', 'development', 'agency', 'build', 'new', 'partnership', 'small_business', 'local', 'council', 'business', 'link', 'tec', 'local', 'chamber', 'commerce']	403	51421	199705
150	['encourage', 'body', 'come', 'together', 'provide', 'stop', 'shop']	403	51421	199705
151	['enable', 'council', 'raise', 'capital', 'local', 'infrastructure', 'investment', 'work', 'partnership', 'private', 'sector']	403	51421	199705
152	['encourage', 'industrial', 'development', 'promote', 'geographical', 'centre', 'industrial', 'excellence']	403	51421	199705
153	['invest', 'research', 'innovation']	411	51421	199705
154	['expand', 'support', 'science', 'research', 'shift', 'government', 'fund', 'away', 'military', 'research', 'development', 'civil', 'science', 'research']	105	51421	199705
155	['improve', 'specialist', 'research', 'facility', 'industry']	411	51421	199705
156	['encourage', 'regional', 'technology', 'transfer', 'centre', 'bring', 'together', 'resource', 'industry', 'university', 'government', 'laboratory']	411	51421	199705
157	['promote', 'tourism']	502	51421	199705
158	['bring', 'together', 'market', 'infrastructure', 'work', 'government', 'local', 'council', 'tourist', 'board']	502	51421	199705
159	['ensure', 'local', 'community', 'involve', 'plan', 'tourist', 'development', 'early', 'stage']	502	51421	199705
160	['build', 'new', 'partnership', 'work']	606	51421	199705
161	['give', 'employee', 'new', 'right', 'consultation', 'participation', 'decision', 'give', 'company', 'employee', 'access', 'advice', 'form', 'partnership', 'best', 'suit']	701	51421	199705
162	['promote', 'profit', 'share', 'mutual', 'structure', 'employee', 'share', 'ownership', 'scheme']	606	51421	199705
163	['extend', 'benefit', 'social', 'chapter', 'maastricht', 'treaty', 'employee', 'resist', 'adoption', 'new', 'rule', 'unnecessarily', 'harm', 'job', 'opportunity']	606	51421	199705
164	['encourage', 'culture', 'long_term', 'business', 'investment']	414	51421	199705
165	['require', 'company', 'publish', 'information', 'long_term', 'investment', 'achievement']	404	51421	199705
166	['include', 'environmental', 'performance']	501	51421	199705
167	['research', 'development', 'training']	411	51421	199705
168	['introduce', 'great', 'shareholder', 'control', 'director', 'pay', 'appointment']	403	51421	199705
169	['promote', 'british', 'export']	408	51421	199705
170	['make', 'export', 'promotion', 'commercial', 'activity', 'high', 'priority', 'british', 'embassy']	408	51421	199705
171	['competitive', 'domestic', 'economy', 'essential', 'british', 'company', 'succeed', 'global', 'market']	414	51421	199705
172	['strengthen', 'law', 'competition']	403	51421	199705
173	['tighten', 'rule', 'monopoly', 'adopt', 'pro', 'competition', 'stance', 'take', 'over', 'merger']	403	51421	199705
174	['combine', 'monopoly', 'merger', 'commission', 'office', 'fair', 'trading', 'single', 'powerful', 'body', 'independent', 'government', 'charge', 'promote', 'competition']	403	51421	199705
175	['give', 'consumer', 'power']	403	51421	199705
176	['promote', 'establishment', 'industry', 'wide', 'ombudsman', 'scheme', 'improve', 'complaint', 'procedure', 'consumer', 'redress']	403	51421	199705
177	['strengthen', 'customer', 'guarantee', 'improve', 'product', 'standard', 'label', 'especially', 'environmental', 'purpose', 'encourage', 'product', 'easy', 'repair', 'reuse', 'recycle']	403	51421	199705
178	['insist', 'clear', 'labelling', 'food', 'product', 'include', 'genetically_modified', 'ingredient']	403	51421	199705
179	['reform', 'privatised', 'utility']	403	51421	199705
180	['combine', 'exist', 'regulator', 'single', 'office', 'utility', 'regulation', 'report', 'cabinet', 'minister', 'responsible', 'consumer', 'affair']	403	51421	199705
181	['new', 'office', 'contain', 'regulatory', 'board', 'industry', 'charge', 'protect', 'consumer', 'ensure', 'excess', 'profit', 'use', 'reduce', 'price', 'increase', 'investment', 'improve', 'service']	403	51421	199705
182	['start', 'water', 'industry', 'encourage', 'utility', 'involve', 'consumer', 'ownership', 'control', 'company', 'mutual', 'structure']	403	51421	199705
183	['reinforce', 'consumer', 'investor', 'protection']	403	51421	199705
184	['introduce', 'independent', 'regulation', 'financial', 'service', 'improve', 'process', 'redress', 'mi', 'selling']	403	51421	199705
185	['protect', 'pension', 'life', 'assurance', 'saving', 'fraud']	403	51421	199705
186	['work', 'maintain', 'city', 'london', 'pre', 'eminence', 'financial', 'centre', 'promote', 'effective', 'international', 'banking', 'standard']	403	51421	199705
187	['aim', 'make', 'clean', 'air', 'pure', 'water', 'decent', 'environment', 'central', 'priority', 'government']	501	51421	199705
188	['problem', 'long', 'environment', 'damage', 'greed', 'indifference']	501	51421	199705
189	['can', 'not', 'go']	501	51421	199705
190	['global_warming', 'polluted', 'river', 'asthma', 'child', 'everyone', 'already', 'pay', 'cost', 'environmental', 'damage']	501	51421	199705
191	['long', 'action', 'delay', 'high', 'cost']	501	51421	199705
192	['commitment', 'save', 'energy', 'cut', 'traffic_congestion', 'stop', 'unnecessary', 'destruction', 'countryside', 'stem', 'tide', 'pollution']	501	51421	199705
193	['cut', 'tax', 'thing', 'want', 'encourage', 'job', 'tax', 'pollution', 'instead']	402	51421	199705
194	['mean', 'tax', 'mean', 'tax', 'differently']	402	51421	199705
195	['build', 'environmental', 'objective', 'government', 'policy']	501	51421	199705
196	['set', 'tough', 'target', 'cut', 'energy', 'waste', 'reduce', 'traffic_congestion', 'control', 'pollution']	501	51421	199705
197	['environmental', 'protection', 'must', 'build', 'economic', 'decision', 'area', 'government', 'policy']	501	51421	199705
198	['set', 'tough', 'new', 'target', 'reduction', 'traffic', 'pollution', 'waste']	501	51421	199705
199	['help', 'reduce', 'global_warming', 'cut', 'air_pollution', 'prevent', 'waste']	501	51421	199705
200	['target', 'include', 'cut', 'carbon_dioxide', 'emission', 'main', 'because', 'climate_change', 'per_cent', 'level', 'next', 'year']	501	51421	199705
201	['cut', 'vat', 'tax', 'job', 'make', 'difference', 'tax', 'pollution', 'instead']	402	51421	199705
202	['help', 'create', 'job', 'good', 'standard', 'living']	606	51421	199705
203	['adopt', 'green', 'action', 'programme']	501	51421	199705
204	['set', 'target', 'sustainability', 'biodiversity', 'meet', 'central', 'local', 'government']	501	51421	199705
205	['measure', 'use', 'new', 'indicator', 'quality', 'life', 'progress', 'wealth']	501	51421	199705
206	['prime_minister', 'report', 'parliament', 'year', 'country', 'success', 'meet', 'environmental', 'target']	501	51421	199705
207	['protect', 'local', 'environment']	501	51421	199705
208	['pass', 'strong', 'law', 'conserve', 'countryside']	501	51421	199705
209	['cut', 'road', 'congestion', 'help', 'local', 'council', 'make', 'britain', 'town', 'city', 'healthy', 'clean', 'place', 'live']	501	51421	199705
210	['improve', 'way', 'environment', 'policy', 'make']	501	51421	199705
211	['environment', 'policy', 'currently', 'bury', 'housing', 'local', 'government', 'huge', 'single', 'government', 'department']	303	51421	199705
212	['put', 'environment', 'energy', 'policy', 'separate', 'new', 'department', 'ensure', 'government', 'department', 'agency', 'pursue', 'environmentally_friendly', 'policy']	303	51421	199705
213	['give', 'environment', 'agency', 'strong', 'power', 'enforce', 'compliance', 'environmental', 'law']	501	51421	199705
214	['travel', 'delay', 'road', 'congestion', 'cost', 'billion', 'pound', 'pollution', 'damage', 'health', 'million', 'people']	501	51421	199705
215	['invest', 'public', 'transport', 'build', 'new', 'partnership', 'private', 'sector']	501	51421	199705
216	['enable', 'council', 'introduce', 'road', 'pricing', 'congest', 'urban', 'area', 'money', 'support', 'clean', 'rapid', 'public', 'transport', 'improve', 'cycle', 'pedestrian', 'access']	501	51421	199705
217	['retain', 'london', 'underground', 'public', 'ownership', 'give', 'right', 'seek', 'private', 'finance', 'new', 'investment', 'assure', 'government', 'guarantee']	413	51421	199705
218	['treble', 'freight', 'double', 'number', 'passenger', 'carry', 'britain', 'railway', 'year']	410	51421	199705
219	['strengthen', 'power', 'rail', 'regulator']	301	51421	199705
220	['require', 'railtrack', 'meet', 'target', 'great', 'investment', 'increase', 'passenger', 'freight', 'traffic']	403	51421	199705
221	['public', 'subsidy', 'railtrack', 'target', 'meet', 'case', 'persistent', 'failure', 'fund', 'reacquire', 'control', 'interest', 'railtrack']	413	51421	199705
222	['provide', 'legislation', 'enable']	413	51421	199705
223	['encourage', 'people', 'drive', 'fuel', 'efficient', 'car', 'cut', 'annual', 'car', 'tax', 'car', 'period', 'next_parliament']	501	51421	199705
224	['fund', 'gradually', 'raise', 'duty', 'fuel', 'approximately', 'pence', 'litre']	402	51421	199705
225	['proposal', 'person', 'typical', 'family', 'car', 'could', 'drive', 'mile', 'year', 'still', 'better', 'even', 'rural', 'area', 'average', 'motorist', 'drive', 'mile', 'year']	402	51421	199705
226	['reform', 'tax', 'relief', 'company', 'car', 'encourage', 'small', 'car', 'give', 'people', 'new', 'incentive', 'public', 'transport', 'get', 'work']	402	51421	199705
227	['reduce', 'need', 'travel']	501	51421	199705
228	['reform', 'planning', 'system', 'people', 'easy', 'access', 'shop', 'office', 'facility']	501	51421	199705
229	['promote', 'information', 'technology', 'decentralise', 'work']	411	51421	199705
230	['official', 'government', 'figure', 'show', 'half', 'energy', 'use', 'britain', 'waste']	501	51421	199705
231	['push', 'fuel', 'bill', 'worsen', 'pollution', 'speed', 'global_warming']	501	51421	199705
232	['cut', 'fuel', 'bill', 'make', 'home', 'warm']	402	51421	199705
233	['launch', 'national', 'home', 'insulation', 'programme', 'end', 'fuel_poverty', 'start', 'low', 'income', 'household']	503	51421	199705
234	['proposal', 'fund', 'energy', 'save', 'trust', 'energy', 'supply', 'company']	408	51421	199705
235	['save', 'household', 'average', 'year']	503	51421	199705
236	['reduce', 'global_warming', 'emission']	501	51421	199705
237	['contrast', 'cut', 'vat', 'fuel', 'bill', 'per_cent', 'would', 'save', 'average', 'household', 'year']	402	51421	199705
238	['cut', 'tax', 'people', 'tax', 'pollution', 'instead']	402	51421	199705
239	['encourage', 'energy', 'saving', 'gradually', 'introduce', 'carbon', 'tax', 'fossil_fuel', 'use', 'fund', 'raise', 'cut', 'vat', 'employer', 'national', 'insurance_contribution', 'tax', 'job']	501	51421	199705
240	['tax', 'switch', 'tax', 'rise', 'phase', 'gradually']	402	51421	199705
241	['improve', 'energy_efficiency']	501	51421	199705
242	['bring', 'new', 'minimum', 'standard', 'energy_efficiency', 'product', 'building', 'vehicle']	501	51421	199705
243	['cut', 'vat', 'energy', 'conservation', 'material', 'per_cent', 'energy', 'supply']	402	51421	199705
244	['promote', 'renewable_source', 'energy', 'combined_heat', 'power', 'scheme']	501	51421	199705
245	['shift', 'fund', 'nuclear', 'research', 'decommissioning', 'nuclear', 'waste', 'management', 'support', 'research', 'renewable_energy', 'source']	501	51421	199705
246	['provide', 'government', 'subsidy', 'nuclear', 'generation']	501	51421	199705
247	['support', 'site', 'dry', 'storage', 'nuclear', 'waste', 'pend', 'long_term', 'development', 'safe', 'alternative']	501	51421	199705
248	['nuclear', 'station', 'replace', 'end', 'design', 'life']	501	51421	199705
249	['britain', 'natural_environment', 'heritage', 'gradually', 'destroy']	501	51421	199705
250	['clean', 'britain', 'river', 'beach', 'ensure', 'cost', 'investment', 'spread', 'fairly']	501	51421	199705
251	['require', 'water', 'company', 'contribute', 'cost', 'national', 'environmental', 'project']	501	51421	199705
252	['reduce', 'need', 'new', 'water', 'development', 'set', 'target', 'reduce', 'leakage', 'promote', 'efficiency', 'water']	501	51421	199705
253	['introduce', 'fair', 'system', 'charge', 'water', 'require', 'water', 'company', 'share', 'excess', 'profit', 'customer', 'rebate', 'investment', 'environmental', 'improvement']	503	51421	199705
254	['end', 'year', 'discharge', 'because', 'unnecessary', 'water', 'pollution']	501	51421	199705
255	['tackle', 'marine', 'oil', 'pollution']	501	51421	199705
256	['implement', 'tough', 'rule', 'ship', 'safety', 'bring_forward', 'designation', 'marine', 'high', 'risk', 'area']	501	51421	199705
257	['reform', 'land', 'planning']	501	51421	199705
258	['make', 'protection', 'natural_environment', 'major', 'feature', 'planning', 'system', 'new', 'wildlife', 'act']	501	51421	199705
259	['improve', 'protection', 'national', 'park', 'heritage', 'coast', 'site', 'special', 'scientific', 'interest', 'area', 'outstanding', 'natural', 'beauty']	501	51421	199705
260	['green', 'countryside']	501	51421	199705
261	['propose', 'new', 'countryside', 'management', 'contract', 'help', 'farmer', 'protect', 'vital', 'habitat', 'convert', 'environmentally_friendly', 'farming_method']	501	51421	199705
262	['tax', 'planning', 'reform', 'protect', 'rural', 'area']	402	51421	199705
263	['encourage', 'development', 'derelict', 'land', 'site', 'rather', 'green', 'field']	501	51421	199705
264	['people', 'understand', 'importance', 'think', 'globally', 'act', 'locally']	501	51421	199705
